iso,sub_indicator,2015
AR,Average commercial  electricity prices ($/MWh),56.44
AR,Average diesel prices ($/l),0
AR,Average electricity spot prices ($/MWh),0
AR,Average industrial electricity prices ($/MWh),41.18
AR,Average kerosene prices ($/l),0
AR,Average residential electricity prices ($/MWh),39.12
AR,Average retail electricity prices ($/MWh),45.58
BB,Average commercial  electricity prices ($/MWh),292.3289035938
BB,Average diesel prices ($/l),0
BB,Average electricity spot prices ($/MWh),0
BB,Average industrial electricity prices ($/MWh),262.2291372386
BB,Average kerosene prices ($/l),0
BB,Average residential electricity prices ($/MWh),248.8539035938
BB,Average retail electricity prices ($/MWh),267.8039814754
BD,Average commercial  electricity prices ($/MWh),124
BD,Average diesel prices ($/l),0.82
BD,Average electricity spot prices ($/MWh),0
BD,Average industrial electricity prices ($/MWh),98
BD,Average kerosene prices ($/l),0.82
BD,Average residential electricity prices ($/MWh),79
BD,Average retail electricity prices ($/MWh),100
BO,Average commercial  electricity prices ($/MWh),146.89
BO,Average diesel prices ($/l),0
BO,Average electricity spot prices ($/MWh),16.3908333333
BO,Average industrial electricity prices ($/MWh),74.01
BO,Average kerosene prices ($/l),0
BO,Average residential electricity prices ($/MWh),96.32
BO,Average retail electricity prices ($/MWh),105.74
BR,Average commercial  electricity prices ($/MWh),125.7002266432
BR,Average diesel prices ($/l),0
BR,Average electricity spot prices ($/MWh),85.7575757576
BR,Average industrial electricity prices ($/MWh),112.115392608
BR,Average kerosene prices ($/l),0
BR,Average residential electricity prices ($/MWh),129.4688493918
BR,Average retail electricity prices ($/MWh),122.4281562144
BS,Average commercial  electricity prices ($/MWh),283.345324443
BS,Average diesel prices ($/l),0
BS,Average electricity spot prices ($/MWh),0
BS,Average industrial electricity prices ($/MWh),268.7415868836
BS,Average kerosene prices ($/l),0
BS,Average residential electricity prices ($/MWh),248.1927305253
BS,Average retail electricity prices ($/MWh),266.7598806173
BW,Average commercial  electricity prices ($/MWh),80.8546266667
BW,Average diesel prices ($/l),0.75
BW,Average electricity spot prices ($/MWh),0
BW,Average industrial electricity prices ($/MWh),81.61374
BW,Average kerosene prices ($/l),0.65
BW,Average residential electricity prices ($/MWh),75.74502
BW,Average retail electricity prices ($/MWh),79.4044622222
BZ,Average commercial  electricity prices ($/MWh),194.961
BZ,Average diesel prices ($/l),0
BZ,Average electricity spot prices ($/MWh),0
BZ,Average industrial electricity prices ($/MWh),138.72225
BZ,Average kerosene prices ($/l),0
BZ,Average residential electricity prices ($/MWh),192.4615
BZ,Average retail electricity prices ($/MWh),175.3815833333
CD,Average commercial  electricity prices ($/MWh),110
CD,Average diesel prices ($/l),1.55
CD,Average electricity spot prices ($/MWh),0
CD,Average industrial electricity prices ($/MWh),56.9
CD,Average kerosene prices ($/l),1.19
CD,Average residential electricity prices ($/MWh),51.5
CD,Average retail electricity prices ($/MWh),72.8
CI,Average commercial  electricity prices ($/MWh),151.45
CI,Average diesel prices ($/l),0.97
CI,Average electricity spot prices ($/MWh),0
CI,Average industrial electricity prices ($/MWh),127.99
CI,Average kerosene prices ($/l),0.96
CI,Average residential electricity prices ($/MWh),140.06
CI,Average retail electricity prices ($/MWh),139.64
CL,Average commercial  electricity prices ($/MWh),114.98
CL,Average diesel prices ($/l),0
CL,Average electricity spot prices ($/MWh),72.89
CL,Average industrial electricity prices ($/MWh),112.69
CL,Average kerosene prices ($/l),0
CL,Average residential electricity prices ($/MWh),190.26
CL,Average retail electricity prices ($/MWh),139.31
CM,Average commercial  electricity prices ($/MWh),143.47
CM,Average diesel prices ($/l),0.94
CM,Average electricity spot prices ($/MWh),0
CM,Average industrial electricity prices ($/MWh),126.22
CM,Average kerosene prices ($/l),0.59
CM,Average residential electricity prices ($/MWh),135.47
CM,Average retail electricity prices ($/MWh),135.05
CN,Average commercial  electricity prices ($/MWh),122
CN,Average diesel prices ($/l),0
CN,Average electricity spot prices ($/MWh),60
CN,Average industrial electricity prices ($/MWh),101
CN,Average kerosene prices ($/l),0
CN,Average residential electricity prices ($/MWh),88
CN,Average retail electricity prices ($/MWh),99
CO,Average commercial  electricity prices ($/MWh),128.8978247718
CO,Average diesel prices ($/l),0
CO,Average electricity spot prices ($/MWh),83.11
CO,Average industrial electricity prices ($/MWh),90.9363996191
CO,Average kerosene prices ($/l),0
CO,Average residential electricity prices ($/MWh),139.9107028325
CO,Average retail electricity prices ($/MWh),119.9149757411
CR,Average commercial  electricity prices ($/MWh),181.0224
CR,Average diesel prices ($/l),0
CR,Average electricity spot prices ($/MWh),0
CR,Average industrial electricity prices ($/MWh),142.4592
CR,Average kerosene prices ($/l),0
CR,Average residential electricity prices ($/MWh),157.9968
CR,Average retail electricity prices ($/MWh),160.4928
DO,Average commercial  electricity prices ($/MWh),171.575
DO,Average diesel prices ($/l),0
DO,Average electricity spot prices ($/MWh),95.62
DO,Average industrial electricity prices ($/MWh),155.798
DO,Average kerosene prices ($/l),0
DO,Average residential electricity prices ($/MWh),118.689
DO,Average retail electricity prices ($/MWh),148.6873333333
EC,Average commercial  electricity prices ($/MWh),96.4
EC,Average diesel prices ($/l),0
EC,Average electricity spot prices ($/MWh),64
EC,Average industrial electricity prices ($/MWh),78.5
EC,Average kerosene prices ($/l),0
EC,Average residential electricity prices ($/MWh),103
EC,Average retail electricity prices ($/MWh),92.6333333333
EG,Average commercial  electricity prices ($/MWh),68.56
EG,Average diesel prices ($/l),0
EG,Average electricity spot prices ($/MWh),0
EG,Average industrial electricity prices ($/MWh),57.25
EG,Average kerosene prices ($/l),0
EG,Average residential electricity prices ($/MWh),22.08
EG,Average retail electricity prices ($/MWh),49.3
ET,Average commercial  electricity prices ($/MWh),87
ET,Average diesel prices ($/l),0.65
ET,Average electricity spot prices ($/MWh),0
ET,Average industrial electricity prices ($/MWh),44
ET,Average kerosene prices ($/l),0.57
ET,Average residential electricity prices ($/MWh),51
ET,Average retail electricity prices ($/MWh),60
GH,Average commercial  electricity prices ($/MWh),266.1
GH,Average diesel prices ($/l),0.84
GH,Average electricity spot prices ($/MWh),0
