iso,sub_indicator,2016
AM,Average commercial  electricity prices ($/MWh),
AM,Average diesel prices ($/l),
AM,Average electricity spot prices ($/MWh),
AM,Average industrial electricity prices ($/MWh),79.1007493755
AM,Average kerosene prices ($/l),
AM,Average residential electricity prices ($/MWh),93.5678601166
AM,Average retail electricity prices ($/MWh),86.334304746
AR,Average commercial  electricity prices ($/MWh),110.935699
AR,Average diesel prices ($/l),
AR,Average electricity spot prices ($/MWh),
AR,Average industrial electricity prices ($/MWh),92.39832
AR,Average kerosene prices ($/l),
AR,Average residential electricity prices ($/MWh),78.107407
AR,Average retail electricity prices ($/MWh),93.8138086667
AZ,Average commercial  electricity prices ($/MWh),56.052
AZ,Average diesel prices ($/l),
AZ,Average electricity spot prices ($/MWh),35.4996
AZ,Average industrial electricity prices ($/MWh),56.052
AZ,Average kerosene prices ($/l),
AZ,Average residential electricity prices ($/MWh),43.596
AZ,Average retail electricity prices ($/MWh),51.9
BB,Average commercial  electricity prices ($/MWh),210
BB,Average diesel prices ($/l),
BB,Average electricity spot prices ($/MWh),
BB,Average industrial electricity prices ($/MWh),200
BB,Average kerosene prices ($/l),
BB,Average residential electricity prices ($/MWh),193
BB,Average retail electricity prices ($/MWh),201
BD,Average commercial  electricity prices ($/MWh),123
BD,Average diesel prices ($/l),0.82
BD,Average electricity spot prices ($/MWh),
BD,Average industrial electricity prices ($/MWh),100
BD,Average kerosene prices ($/l),0.82
BD,Average residential electricity prices ($/MWh),76
BD,Average retail electricity prices ($/MWh),100.12
BO,Average commercial  electricity prices ($/MWh),149.24024
BO,Average diesel prices ($/l),
BO,Average electricity spot prices ($/MWh),16.81
BO,Average industrial electricity prices ($/MWh),75.19416
BO,Average kerosene prices ($/l),
BO,Average residential electricity prices ($/MWh),97.86112
BO,Average retail electricity prices ($/MWh),107.43184
BR,Average commercial  electricity prices ($/MWh),184.2541567516
BR,Average diesel prices ($/l),
BR,Average electricity spot prices ($/MWh),33.5526883566
BR,Average industrial electricity prices ($/MWh),157.4312423193
BR,Average kerosene prices ($/l),
BR,Average residential electricity prices ($/MWh),186.7286383721
BR,Average retail electricity prices ($/MWh),176.138012481
BS,Average commercial  electricity prices ($/MWh),264.4833225561
BS,Average diesel prices ($/l),
BS,Average electricity spot prices ($/MWh),
BS,Average industrial electricity prices ($/MWh),249.3525444057
BS,Average kerosene prices ($/l),
BS,Average residential electricity prices ($/MWh),227.3448288323
BS,Average retail electricity prices ($/MWh),247.0602319313
BW,Average commercial  electricity prices ($/MWh),75.2078966667
BW,Average diesel prices ($/l),0.660761
BW,Average electricity spot prices ($/MWh),
BW,Average industrial electricity prices ($/MWh),75.913995
BW,Average kerosene prices ($/l),0.563347
BW,Average residential electricity prices ($/MWh),70.455135
BW,Average retail electricity prices ($/MWh),73.8590088889
BY,Average commercial  electricity prices ($/MWh),126.74091
BY,Average diesel prices ($/l),
BY,Average electricity spot prices ($/MWh),
BY,Average industrial electricity prices ($/MWh),126.74091
BY,Average kerosene prices ($/l),
BY,Average residential electricity prices ($/MWh),50.9539
BY,Average retail electricity prices ($/MWh),101.4785733333
BZ,Average commercial  electricity prices ($/MWh),182.135
BZ,Average diesel prices ($/l),
BZ,Average electricity spot prices ($/MWh),
BZ,Average industrial electricity prices ($/MWh),129.74
BZ,Average kerosene prices ($/l),
BZ,Average residential electricity prices ($/MWh),179.64
BZ,Average retail electricity prices ($/MWh),163.8383333333
CD,Average commercial  electricity prices ($/MWh),110
CD,Average diesel prices ($/l),1.64
CD,Average electricity spot prices ($/MWh),
CD,Average industrial electricity prices ($/MWh),56.9
CD,Average kerosene prices ($/l),1.19
CD,Average residential electricity prices ($/MWh),51.5
CD,Average retail electricity prices ($/MWh),72.8
CI,Average commercial  electricity prices ($/MWh),192.4
CI,Average diesel prices ($/l),0.92
CI,Average electricity spot prices ($/MWh),
CI,Average industrial electricity prices ($/MWh),150.1
CI,Average kerosene prices ($/l),0.93
CI,Average residential electricity prices ($/MWh),110.35
CI,Average retail electricity prices ($/MWh),150.95
